Type,Title,URL Path,Section (from URL),In Known Nav Menu,Nav Location,Content Cluster (from tags),Published,CAS Protected,Category,Tags,Audience,Custom Vocab,Flags
Page,Home,/home,Home,Not a known menu link*,,,Yes,No,,,,,
Page,We're here to help you build your site,/support,Support,Yes,Top nav,,Yes,No,,,,,
Page,Trainings,/trainings,Trainings,Yes,Top nav,Training catalog / webinars,Yes,No,,,,,
Page,Beacon AI,/beaconai,Other / root-level,Not a known menu link*,,,Yes,No,,,,,Title has leading/trailing whitespace in source export
Page,Current Issues & Fixes,/continuous-improvement/current-issues-fixes,Platform,Yes,Platform (top nav),,Yes,No,,,,,
Page,Change Hold Calendar,/change-hold-calendar,Events,Not a known menu link*,,Event management (Localist) guide,Yes,No,,calendar,,,
Page,Go-Live Checklist,/go-live-checklist,Resource Library > User Guide,Yes,User Guide left nav,,Yes,No,,User Guide,,,
Page,Upcoming Events,/upcoming-events,Events,Not a known menu link*,,Event management (Localist) guide,Yes,No,,calendar,,,
Page,Events,/events,Events,Not a known menu link*,,Event management (Localist) guide,Yes,No,,,,,
Page,Events Calendar,/events-calendar-0,Other / root-level,Not a known menu link*,,Event management (Localist) guide,Yes,No,,,,,
Page,Release Notes,/continuous-improvement/release-notes,Platform,Yes,Platform (top nav),,Yes,No,,,,,
Page,YaleSites Advantage,/continuous-improvement/yalesites-advantage,Platform,Yes,Platform (top nav),,Yes,No,,,,,
Page,Working with Images in YaleSites,/explore-resources/user-guide/building-your-site/working-with-images-in-yalesites,Resource Library > User Guide,Yes,User Guide left nav > Building Your Site,Tips and Tricks,Yes,No,Tips and Tricks,Tips and Tricks - Media,,,
Page,Video Banner Block,/video-banner-block,Other / root-level,Not a known menu link*,,Block reference library,Yes,No,,"Building With Blocks, Building with Blocks - Featured Content",,Featured Content,
Page,Continued Drupal 7 Support Plan,/support/continued-drupal-7-support-plan,Support,Not a known menu link*,,,Yes,No,,,,,
Page,Archiving Your Website,/explore-resources/archiving-your-website,Resource Library,Not a known menu link*,,,Yes,No,,"Pathway, Planning and Strategy, Resources",,,
Page,Migrating a Legacy Site,/explore-resources/user-guide/migrating-a-legacy-site,Resource Library > User Guide,Not a known menu link*,,,Yes,No,,,,,
Page,2026 Platform Roadmap,/continuous-improvement/2026-platform-roadmap,Platform,Yes,Platform (top nav),,Yes,No,,,,,
Page,User Guide,/explore-resources/user-guide,Resource Library > User Guide,Yes,Resource Library (top nav) / User Guide root,,Yes,No,,,,,
Page,Resource,/explore-resources/user-guide/building-your-site/content-types/resource,Resource Library > User Guide,Not a known menu link*,,,Yes,No,,,,,
Page,When to submit an event,/when-to-submit-an-event,Other / root-level,Not a known menu link*,,Event management (Localist) guide,Yes,No,,,,,
Page,The homepage and dashboard,/the-homepage-and-dashboard,Other / root-level,Not a known menu link*,,,Yes,No,,,,,
Page,"Review, approve, or reject pending events",/review-approve-or-reject-pending-events,Other / root-level,Not a known menu link*,,Event management (Localist) guide,Yes,No,,,,,
Page,"Monitor, update, unpublish, or delete live events",/monitor-update-unpublish-or-delete-live-events,Other / root-level,Not a known menu link*,,Event management (Localist) guide,Yes,No,,,,,
Page,Add events as an Admin,/add-events-as-an-admin,Other / root-level,Not a known menu link*,,Event management (Localist) guide,Yes,No,,,,,
Page,Log into Localist as an Admin,/log-into-localist-as-an-admin,Other / root-level,Not a known menu link*,,Event management (Localist) guide,Yes,No,,,,,
Page,What to include with your event,/what-to-include-with-your-event,Other / root-level,Not a known menu link*,,Event management (Localist) guide,Yes,No,,,,,
Page,Imagery guidelines,/imagery-guidelines,Other / root-level,Not a known menu link*,,,Yes,No,,,,,
Page,Editorial Best Practices & Guidelines,/editorial-best-practices-guidelines,Other / root-level,Not a known menu link*,,,Yes,No,,,,,
Page,Managing Public Events with Yale-Localist,/managing-public-events-with-yale-localist,Other / root-level,Not a known menu link*,,Event management (Localist) guide,Yes,No,,,,,
Page,Localist Event Management and Calendaring,/localist-event-management-and-calendaring,Other / root-level,Not a known menu link*,,Event management (Localist) guide,Yes,No,,"Design and Site Building, Resources",,,
Page,Supporting Embedded Content on the YaleSites Platform,/community/requests/supporting-embedded-content-on-the-yalesites-platform,Community,Not a known menu link*,,,Yes,No,,product decisions,,,
Page,Learn the Basics,/explore-resources/learn-the-basics,Resource Library > Learn the Basics,Yes,Resource Library (top nav),,Yes,No,,,,,
Page,Before adding or submitting an event,/before-adding-or-submitting-an-event,Other / root-level,Not a known menu link*,,Event management (Localist) guide,Yes,No,,,,,
Page,Navigate Localist as an End-User,/navigate-localist-as-an-end-user,Other / root-level,Not a known menu link*,,Event management (Localist) guide,Yes,No,,,,,
Page,Hosting Requirements for Vendor Supported Custom Sites,/hosting-requirements-for-vendor-supported-custom-sites,Other / root-level,Not a known menu link*,,,Yes,No,,,,,
Page,Submit an event for consideration,/submit-an-event-for-consideration,Other / root-level,Not a known menu link*,,Event management (Localist) guide,Yes,No,,,,,
Page,Site Request Forms,/request,Other / root-level,Not a known menu link*,,,Yes,No,,,,,
Page,Writing for SEO and AI,/explore-resources/writing-for-seo-and-ai,Resource Library,Not a known menu link*,,,Yes,No,Working With Content,"Content, Content Creation and Management, Resources",,,
Page,Web Writing Best Practices,/explore-resources/web-writing-best-practices,Resource Library,Not a known menu link*,,,Yes,No,Working With Content,"Content, Content Creation and Management, Get Started, Resources",,,
Page,Get Started with YaleSites,/get-started-with-yalesites,Get Started,Yes,Top nav,,Yes,No,,,,,
